Year,Geography,Pattype,Category,Cat_value,Dxgroup,Count,Total,Percent
2020,Statewide,Inpatient,DX Category,All Discharges,All Other Diagnoses,2408622,3444532,0.69925958
2020,Statewide,Inpatient,DX Category,All Discharges,Co-Occuring Disorders,242537,3444532,0.070412178
2020,Statewide,Inpatient,DX Category,All Discharges,Mental Health Disorders,552736,3444532,0.160467663
2020,Statewide,Inpatient,DX Category,All Discharges,Substance Use Disorders,240637,3444532,0.069860579
2020,Statewide,Inpatient,Sex,Female,All Other Diagnoses,1358168,1874686,0.724477593
2020,Statewide,Inpatient,Sex,Female,Co-Occuring Disorders,100688,1874686,0.053709261
2020,Statewide,Inpatient,Sex,Female,Mental Health Disorders,346219,1874686,0.184681061
2020,Statewide,Inpatient,Sex,Female,Substance Use Disorders,69611,1874686,0.037132085
2020,Statewide,Inpatient,Sex,Male,All Other Diagnoses,1050255,1569574,0.66913379
2020,Statewide,Inpatient,Sex,Male,Co-Occuring Disorders,141834,1569574,0.090364647
2020,Statewide,Inpatient,Sex,Male,Mental Health Disorders,206479,1569574,0.131550981
2020,Statewide,Inpatient,Sex,Male,Substance Use Disorders,171006,1569574,0.108950582
2020,Statewide,Inpatient,Funding Source,All Other Payers,All Other Diagnoses,20620,27832,0.740873814
2020,Statewide,Inpatient,Funding Source,All Other Payers,Co-Occuring Disorders,1403,27832,0.050409601
2020,Statewide,Inpatient,Funding Source,All Other Payers,Mental Health Disorders,4150,27832,0.149108939
2020,Statewide,Inpatient,Funding Source,All Other Payers,Substance Use Disorders,1659,27832,0.059607646
2020,Statewide,Inpatient,Funding Source,Medi-Cal,All Other Diagnoses,727254,1087585,0.668687045
2020,Statewide,Inpatient,Funding Source,Medi-Cal,Co-Occuring Disorders,107995,1087585,0.099297986
2020,Statewide,Inpatient,Funding Source,Medi-Cal,Mental Health Disorders,128063,1087585,0.117749877
2020,Statewide,Inpatient,Funding Source,Medi-Cal,Substance Use Disorders,124273,1087585,0.114265092
2020,Statewide,Inpatient,Funding Source,Medicare,All Other Diagnoses,786669,1174042,0.670051838
2020,Statewide,Inpatient,Funding Source,Medicare,Co-Occuring Disorders,58424,1174042,0.049763126
2020,Statewide,Inpatient,Funding Source,Medicare,Mental Health Disorders,268034,1174042,0.22830018
2020,Statewide,Inpatient,Funding Source,Medicare,Substance Use Disorders,60915,1174042,0.051884856
2020,Statewide,Inpatient,Funding Source,Other Government,All Other Diagnoses,55593,94645,0.587384437
2020,Statewide,Inpatient,Funding Source,Other Government,Co-Occuring Disorders,15504,94645,0.16381214
2020,Statewide,Inpatient,Funding Source,Other Government,Mental Health Disorders,17309,94645,0.182883406
2020,Statewide,Inpatient,Funding Source,Other Government,Substance Use Disorders,6239,94645,0.065920017
2020,Statewide,Inpatient,Funding Source,Private Health Insurance,All Other Diagnoses,773849,996531,0.776542827
2020,Statewide,Inpatient,Funding Source,Private Health Insurance,Co-Occuring Disorders,53671,996531,0.053857833
2020,Statewide,Inpatient,Funding Source,Private Health Insurance,Mental Health Disorders,129679,996531,0.130130422
2020,Statewide,Inpatient,Funding Source,Private Health Insurance,Substance Use Disorders,39332,996531,0.039468918
2020,Statewide,Inpatient,Funding Source,Self-Pay or Uninsured,All Other Diagnoses,43914,62907,0.698078115
2020,Statewide,Inpatient,Funding Source,Self-Pay or Uninsured,Co-Occuring Disorders,5483,62907,0.087160411
2020,Statewide,Inpatient,Funding Source,Self-Pay or Uninsured,Mental Health Disorders,5381,62907,0.08553897
2020,Statewide,Inpatient,Funding Source,Self-Pay or Uninsured,Substance Use Disorders,8129,62907,0.129222503
2020,Statewide,Inpatient,Race,American Indian/Alaska Native,All Other Diagnoses,6292,10933,0.575505351
2020,Statewide,Inpatient,Race,American Indian/Alaska Native,Co-Occuring Disorders,1302,10933,0.119088997
2020,Statewide,Inpatient,Race,American Indian/Alaska Native,Mental Health Disorders,1989,10933,0.181926278
2020,Statewide,Inpatient,Race,American Indian/Alaska Native,Substance Use Disorders,1350,10933,0.123479374
2020,Statewide,Inpatient,Race,Asian,All Other Diagnoses,263738,307291,0.858267896
2020,Statewide,Inpatient,Race,Asian,Co-Occuring Disorders,5660,307291,0.018419023
2020,Statewide,Inpatient,Race,Asian,Mental Health Disorders,31168,307291,0.101428288
2020,Statewide,Inpatient,Race,Asian,Substance Use Disorders,6725,307291,0.021884793
2020,Statewide,Inpatient,Race,Black,All Other Diagnoses,173597,285743,0.607528443
2020,Statewide,Inpatient,Race,Black,Co-Occuring Disorders,30906,285743,0.10816013
2020,Statewide,Inpatient,Race,Black,Mental Health Disorders,50198,285743,0.175675345
2020,Statewide,Inpatient,Race,Black,Substance Use Disorders,31042,285743,0.108636082
2020,Statewide,Inpatient,Race,Hispanic,All Other Diagnoses,881289,1150845,0.765775582
2020,Statewide,Inpatient,Race,Hispanic,Co-Occuring Disorders,59624,1150845,0.051808888
2020,Statewide,Inpatient,Race,Hispanic,Mental Health Disorders,131764,1150845,0.114493264
2020,Statewide,Inpatient,Race,Hispanic,Substance Use Disorders,78168,1150845,0.067922266
2020,Statewide,Inpatient,Race,Multiracial,All Other Diagnoses,28251,42531,0.664244904
2020,Statewide,Inpatient,Race,Multiracial,Co-Occuring Disorders,3423,42531,0.080482472
2020,Statewide,Inpatient,Race,Multiracial,Mental Health Disorders,7637,42531,0.179563142
2020,Statewide,Inpatient,Race,Multiracial,Substance Use Disorders,3220,42531,0.075709483
2020,Statewide,Inpatient,Race,Native Hawaiian or Other Pacific Islande,All Other Diagnoses,17589,21673,0.811562774
2020,Statewide,Inpatient,Race,Native Hawaiian or Other Pacific Islande,Co-Occuring Disorders,674,21673,0.031098602
2020,Statewide,Inpatient,Race,Native Hawaiian or Other Pacific Islande,Mental Health Disorders,2473,21673,0.114105108
2020,Statewide,Inpatient,Race,Native Hawaiian or Other Pacific Islande,Substance Use Disorders,937,21673,0.043233516
2020,Statewide,Inpatient,Race,Other Race,All Other Diagnoses,122826,170205,0.721635675
2020,Statewide,Inpatient,Race,Other Race,Co-Occuring Disorders,11486,170205,0.067483329
2020,Statewide,Inpatient,Race,Other Race,Mental Health Disorders,25739,170205,0.151223525
2020,Statewide,Inpatient,Race,Other Race,Substance Use Disorders,10154,170205,0.059657472
2020,Statewide,Inpatient,Race,Unknown/Invalid,All Other Diagnoses,22872,32466,0.704490852
2020,Statewide,Inpatient,Race,Unknown/Invalid,Co-Occuring Disorders,2615,32466,0.080545802
2020,Statewide,Inpatient,Race,Unknown/Invalid,Mental Health Disorders,4777,32466,0.147138545
2020,Statewide,Inpatient,Race,Unknown/Invalid,Substance Use Disorders,2202,32466,0.067824801
2020,Statewide,Inpatient,Race,White,All Other Diagnoses,892168,1422845,0.627031054
2020,Statewide,Inpatient,Race,White,Co-Occuring Disorders,126847,1422845,0.089150259
2020,Statewide,Inpatient,Race,White,Mental Health Disorders,296991,1422845,0.208730396
2020,Statewide,Inpatient,Race,White,Substance Use Disorders,106839,1422845,0.075088291
2020,Statewide,Inpatient,Age,0 to 18,All Other Diagnoses,546622,594069,0.920132173
2020,Statewide,Inpatient,Age,0 to 18,Co-Occuring Disorders,10429,594069,0.0175552
2020,Statewide,Inpatient,Age,0 to 18,Mental Health Disorders,34173,594069,0.057523621
2020,Statewide,Inpatient,Age,0 to 18,Substance Use Disorders,2845,594069,0.004789006
2020,Statewide,Inpatient,Age,19 to 39,All Other Diagnoses,531816,794225,0.669603702
2020,Statewide,Inpatient,Age,19 to 39,Co-Occuring Disorders,91921,794225,0.115736725
2020,Statewide,Inpatient,Age,19 to 39,Mental Health Disorders,108402,794225,0.136487771
2020,Statewide,Inpatient,Age,19 to 39,Substance Use Disorders,62086,794225,0.078171803
2020,Statewide,Inpatient,Age,40 to 59,All Other Diagnoses,366162,672668,0.544342826
2020,Statewide,Inpatient,Age,40 to 59,Co-Occuring Disorders,87499,672668,0.130077542
2020,Statewide,Inpatient,Age,40 to 59,Mental Health Disorders,125228,672668,0.186166133
2020,Statewide,Inpatient,Age,40 to 59,Substance Use Disorders,93779,672668,0.1394135
2020,Statewide,Inpatient,Age,60+,All Other Diagnoses,963954,1383484,0.696758329
2020,Statewide,Inpatient,Age,60+,Co-Occuring Disorders,52682,1383484,0.038079226
2020,Statewide,Inpatient,Age,60+,Mental Health Disorders,284928,1383484,0.205949617
2020,Statewide,Inpatient,Age,60+,Substance Use Disorders,81920,1383484,0.059212828
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Mood disorders,472522,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Anxiety disorders,353621,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Adjustment disorders,71605,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,"Intentional self-harm, suicidal ideation, and suicide attempts",118105,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Schizophrenia and other psychotic disorders,163474,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Personality disorders,14631,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Impulse control disorders not elsewhere classified,7899,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Miscellaneous mental health conditions,54862,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Alcohol-related disorders,222480,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Cannabis-related disorders,117879,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Opioid-related disorders,90154,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Stimulant-related disorders,157717,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Sedative-related disorders,19169,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Hallucinogen-related disorders,4190,,
2020,Statewide,Inpatient,MH Category,All MBD Discharges,Miscellaneous substance-related disorders,40456,,
2020,Statewide,ED Visit,DX Category,All Discharges,All Other Diagnoses,8470832,10023851,0.845067629
2020,Statewide,ED Visit,DX Category,All Discharges,Co-Occuring Disorders,208341,10023851,0.020784527
2020,Statewide,ED Visit,DX Category,All Discharges,Mental Health Disorders,903333,10023851,0.090118359
2020,Statewide,ED Visit,DX Category,All Discharges,Substance Use Disorders,441345,10023851,0.044029485
2020,Statewide,ED Visit,Sex,Female,All Other Diagnoses,4546742,5306443,0.85683423
2020,Statewide,ED Visit,Sex,Female,Co-Occuring Disorders,80192,5306443,0.015112195
2020,Statewide,ED Visit,Sex,Female,Mental Health Disorders,544901,5306443,0.102686677
2020,Statewide,ED Visit,Sex,Female,Substance Use Disorders,134608,5306443,0.025366898
2020,Statewide,ED Visit,Sex,Male,All Other Diagnoses,3923455,4716510,0.831855546
2020,Statewide,ED Visit,Sex,Male,Co-Occuring Disorders,128113,4716510,0.027162669
2020,Statewide,ED Visit,Sex,Male,Mental Health Disorders,358312,4716510,0.075969732
2020,Statewide,ED Visit,Sex,Male,Substance Use Disorders,306630,4716510,0.065012053
2020,Statewide,ED Visit,Funding Source,All Other Payers,All Other Diagnoses,120747,127875,0.944258065
2020,Statewide,ED Visit,Funding Source,All Other Payers,Co-Occuring Disorders,548,127875,0.004285435
2020,Statewide,ED Visit,Funding Source,All Other Payers,Mental Health Disorders,4540,127875,0.035503421
2020,Statewide,ED Visit,Funding Source,All Other Payers,Substance Use Disorders,2040,127875,0.015953079
2020,Statewide,ED Visit,Funding Source,Medi-Cal,All Other Diagnoses,3499414,4199044,0.833383504
2020,Statewide,ED Visit,Funding Source,Medi-Cal,Co-Occuring Disorders,114980,4199044,0.027382423
2020,Statewide,ED Visit,Funding Source,Medi-Cal,Mental Health Disorders,349951,4199044,0.083340637
2020,Statewide,ED Visit,Funding Source,Medi-Cal,Substance Use Disorders,234699,4199044,0.055893437
2020,Statewide,ED Visit,Funding Source,Medicare,All Other Diagnoses,1624550,1957201,0.830037385
2020,Statewide,ED Visit,Funding Source,Medicare,Co-Occuring Disorders,33529,1957201,0.017131097
2020,Statewide,ED Visit,Funding Source,Medicare,Mental Health Disorders,246058,1957201,0.125719331
2020,Statewide,ED Visit,Funding Source,Medicare,Substance Use Disorders,53064,1957201,0.027112187
2020,Statewide,ED Visit,Funding Source,Other Government,All Other Diagnoses,184915,220552,0.838419058
2020,Statewide,ED Visit,Funding Source,Other Government,Co-Occuring Disorders,5222,220552,0.023676956
2020,Statewide,ED Visit,Funding Source,Other Government,Mental Health Disorders,19143,220552,0.086795858
2020,Statewide,ED Visit,Funding Source,Other Government,Substance Use Disorders,11272,220552,0.051108129
2020,Statewide,ED Visit,Funding Source,Private Health Insurance,All Other Diagnoses,2446882,2803524,0.872787963
2020,Statewide,ED Visit,Funding Source,Private Health Insurance,Co-Occuring Disorders,37471,2803524,0.013365678
2020,Statewide,ED Visit,Funding Source,Private Health Insurance,Mental Health Disorders,237757,2803524,0.084806479
2020,Statewide,ED Visit,Funding Source,Private Health Insurance,Substance Use Disorders,81414,2803524,0.02903988
2020,Statewide,ED Visit,Funding Source,Self-Pay or Uninsured,All Other Diagnoses,591533,712515,0.830204276
2020,Statewide,ED Visit,Funding Source,Self-Pay or Uninsured,Co-Occuring Disorders,16541,712515,0.02321495
2020,Statewide,ED Visit,Funding Source,Self-Pay or Uninsured,Mental Health Disorders,45689,712515,0.064123562
2020,Statewide,ED Visit,Funding Source,Self-Pay or Uninsured,Substance Use Disorders,58752,712515,0.082457211
2020,Statewide,ED Visit,Race,American Indian/Alaska Native,All Other Diagnoses,28318,35742,0.792289184
2020,Statewide,ED Visit,Race,American Indian/Alaska Native,Co-Occuring Disorders,1154,35742,0.032286945
2020,Statewide,ED Visit,Race,American Indian/Alaska Native,Mental Health Disorders,3624,35742,0.101393319
2020,Statewide,ED Visit,Race,American Indian/Alaska Native,Substance Use Disorders,2646,35742,0.074030552
2020,Statewide,ED Visit,Race,Asian,All Other Diagnoses,505822,556856,0.908353327
2020,Statewide,ED Visit,Race,Asian,Co-Occuring Disorders,4252,556856,0.007635726
2020,Statewide,ED Visit,Race,Asian,Mental Health Disorders,37810,556856,0.067899062
2020,Statewide,ED Visit,Race,Asian,Substance Use Disorders,8972,556856,0.016111885
2020,Statewide,ED Visit,Race,Black,All Other Diagnoses,882385,1079366,0.817503053
2020,Statewide,ED Visit,Race,Black,Co-Occuring Disorders,31121,1079366,0.028832667
2020,Statewide,ED Visit,Race,Black,Mental Health Disorders,107104,1079366,0.099228621
2020,Statewide,ED Visit,Race,Black,Substance Use Disorders,58756,1079366,0.05443566
2020,Statewide,ED Visit,Race,Hispanic,All Other Diagnoses,3600137,4094700,0.879218746
2020,Statewide,ED Visit,Race,Hispanic,Co-Occuring Disorders,57766,4094700,0.014107505
2020,Statewide,ED Visit,Race,Hispanic,Mental Health Disorders,283576,4094700,0.069254402
2020,Statewide,ED Visit,Race,Hispanic,Substance Use Disorders,153221,4094700,0.037419347
2020,Statewide,ED Visit,Race,Multiracial,All Other Diagnoses,78617,99309,0.791640234
2020,Statewide,ED Visit,Race,Multiracial,Co-Occuring Disorders,3208,99309,0.032303215
2020,Statewide,ED Visit,Race,Multiracial,Mental Health Disorders,11630,99309,0.117109225
2020,Statewide,ED Visit,Race,Multiracial,Substance Use Disorders,5854,99309,0.058947326
2020,Statewide,ED Visit,Race,Native Hawaiian or Other Pacific Islande,All Other Diagnoses,48491,53713,0.902779588
2020,Statewide,ED Visit,Race,Native Hawaiian or Other Pacific Islande,Co-Occuring Disorders,535,53713,0.009960345
2020,Statewide,ED Visit,Race,Native Hawaiian or Other Pacific Islande,Mental Health Disorders,3527,53713,0.065663806
2020,Statewide,ED Visit,Race,Native Hawaiian or Other Pacific Islande,Substance Use Disorders,1160,53713,0.021596262
2020,Statewide,ED Visit,Race,Other Race,All Other Diagnoses,401662,467577,0.859028566
2020,Statewide,ED Visit,Race,Other Race,Co-Occuring Disorders,8950,467577,0.019141232
2020,Statewide,ED Visit,Race,Other Race,Mental Health Disorders,38588,467577,0.082527584
2020,Statewide,ED Visit,Race,Other Race,Substance Use Disorders,18377,467577,0.039302618
2020,Statewide,ED Visit,Race,Unknown/Invalid,All Other Diagnoses,76977,91683,0.83959949
2020,Statewide,ED Visit,Race,Unknown/Invalid,Co-Occuring Disorders,1967,91683,0.021454359
2020,Statewide,ED Visit,Race,Unknown/Invalid,Mental Health Disorders,7761,91683,0.084650371
2020,Statewide,ED Visit,Race,Unknown/Invalid,Substance Use Disorders,4978,91683,0.05429578
2020,Statewide,ED Visit,Race,White,All Other Diagnoses,2848423,3544905,0.803525906
2020,Statewide,ED Visit,Race,White,Co-Occuring Disorders,99388,3544905,0.028036859
2020,Statewide,ED Visit,Race,White,Mental Health Disorders,409713,3544905,0.115577992
2020,Statewide,ED Visit,Race,White,Substance Use Disorders,187381,3544905,0.052859245
2020,Statewide,ED Visit,Age,0 to 18,All Other Diagnoses,1616406,1709532,0.945525442
2020,Statewide,ED Visit,Age,0 to 18,Co-Occuring Disorders,7770,1709532,0.004545104
