"Publication_Year","Table","Health_Indicator_Desc","Strata","Strata_Name","County","Rank_Order","Denominator_Total","Denominator_Average","Denominator_Label","Denominator_Year_Period","Numerator_Total","Numerator_Average","Numerator_Label","Numerator_Year_Period","Rate_Multiplier","Rate/Percentage","Rate/Percentage_Label","Age-Adjusted_Rate","Age-Adjusted_Rate_Label","Lower_Confidence_Limit","Upper_Confidence_Limit","Healthy_People_Decade","Healthy_People_Objective_Number","Healthy_People_Objective_Target","Healthy_People_Objective_Met","Denominator_Annotation_Code","Numerator_Annotation_Code","Rates_Annotation_Code","Annotation_Desc"
2025,1,Deaths Due to All Causes,Total Population,Total Population,Santa Clara,1,1987898,1987898.0,Population,2022,33716,11238.7,Deaths,2021-2023,100000,565.4,Crude Death Rate,440.9,Age-Adjusted Death Rate,436.2,445.7,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,San Mateo,2,777635,777635.0,Population,2022,15300,5100.0,Deaths,2021-2023,100000,655.8,Crude Death Rate,449.0,Age-Adjusted Death Rate,441.7,456.3,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Marin,3,257795,257795.0,Population,2022,6550,2183.3,Deaths,2021-2023,100000,846.9,Crude Death Rate,464.5,Age-Adjusted Death Rate,452.4,476.5,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,San Francisco,4,897416,897416.0,Population,2022,19513,6504.3,Deaths,2021-2023,100000,724.8,Crude Death Rate,509.7,Age-Adjusted Death Rate,502.4,517.0,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Alameda,5,1689538,1689538.0,Population,2022,33129,11043.0,Deaths,2021-2023,100000,653.6,Crude Death Rate,540.2,Age-Adjusted Death Rate,534.3,546.1,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Mono,6,13898,13898.0,Population,2022,212,70.7,Deaths,2021-2023,100000,508.5,Crude Death Rate,545.7,Age-Adjusted Death Rate,456.0,635.4,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Orange,7,3218111,3218111.0,Population,2022,71338,23779.3,Deaths,2021-2023,100000,738.9,Crude Death Rate,570.3,Age-Adjusted Death Rate,566.0,574.5,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Monterey,8,447300,447300.0,Population,2022,8974,2991.3,Deaths,2021-2023,100000,668.8,Crude Death Rate,573.2,Age-Adjusted Death Rate,561.2,585.2,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Contra Costa,9,1168294,1168294.0,Population,2022,26722,8907.3,Deaths,2021-2023,100000,762.4,Crude Death Rate,574.4,Age-Adjusted Death Rate,567.4,581.5,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Santa Cruz,10,276024,276024.0,Population,2022,5981,1993.7,Deaths,2021-2023,100000,722.3,Crude Death Rate,577.1,Age-Adjusted Death Rate,561.9,592.3,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Sonoma,11,502886,502886.0,Population,2022,13594,4531.3,Deaths,2021-2023,100000,901.1,Crude Death Rate,581.3,Age-Adjusted Death Rate,571.0,591.5,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Sierra,12,3077,3077.0,Population,2022,122,40.7,Deaths,2021-2023,100000,1321.6,Crude Death Rate,584.8,Age-Adjusted Death Rate,459.3,710.3,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Placer,13,400664,400664.0,Population,2022,11723,3907.7,Deaths,2021-2023,100000,975.3,Crude Death Rate,594.1,Age-Adjusted Death Rate,582.9,605.2,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Los Angeles,14,10208717,10208717.0,Population,2022,227465,75821.7,Deaths,2021-2023,100000,742.7,Crude Death Rate,601.8,Age-Adjusted Death Rate,599.3,604.3,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Alpine,15,1139,1139.0,Population,2022,38,12.7,Deaths,2021-2023,100000,1112.1,Crude Death Rate,603.7,Age-Adjusted Death Rate,404.3,867.0,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,San Diego,16,3356185,3356185.0,Population,2022,75100,25033.3,Deaths,2021-2023,100000,745.9,Crude Death Rate,607.7,Age-Adjusted Death Rate,603.3,612.1,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,San Luis Obispo,17,279268,279268.0,Population,2022,8070,2690.0,Deaths,2021-2023,100000,963.2,Crude Death Rate,611.6,Age-Adjusted Death Rate,597.2,625.9,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Santa Barbara,18,455127,455127.0,Population,2022,10657,3552.3,Deaths,2021-2023,100000,780.5,Crude Death Rate,619.2,Age-Adjusted Death Rate,607.1,631.2,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Ventura,19,851620,851620.0,Population,2022,20686,6895.3,Deaths,2021-2023,100000,809.7,Crude Death Rate,625.5,Age-Adjusted Death Rate,616.8,634.2,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Napa,20,139518,139518.0,Population,2022,3919,1306.3,Deaths,2021-2023,100000,936.3,Crude Death Rate,625.7,Age-Adjusted Death Rate,605.5,645.8,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,El Dorado,21,190012,190012.0,Population,2022,5522,1840.7,Deaths,2021-2023,100000,968.7,Crude Death Rate,626.9,Age-Adjusted Death Rate,609.2,644.5,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Nevada,22,98157,98157.0,Population,2022,3497,1165.7,Deaths,2021-2023,100000,1187.6,Crude Death Rate,633.0,Age-Adjusted Death Rate,609.1,656.9,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,CALIFORNIA,,40146003,40146003.0,Population,2022,941475,313825.0,Deaths,2021-2023,100000,781.7,Crude Death Rate,634.1,Age-Adjusted Death Rate,632.8,635.4,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Yolo,23,228380,228380.0,Population,2022,4525,1508.3,Deaths,2021-2023,100000,660.4,Crude Death Rate,634.8,Age-Adjusted Death Rate,616.0,653.6,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,San Benito,24,62124,62124.0,Population,2022,1337,445.7,Deaths,2021-2023,100000,717.4,Crude Death Rate,643.5,Age-Adjusted Death Rate,608.3,678.6,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Plumas,25,19041,19041.0,Population,2022,749,249.7,Deaths,2021-2023,100000,1311.2,Crude Death Rate,667.0,Age-Adjusted Death Rate,610.7,723.4,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Imperial,26,192960,192960.0,Population,2022,4299,1433.0,Deaths,2021-2023,100000,742.6,Crude Death Rate,671.7,Age-Adjusted Death Rate,651.2,692.2,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Colusa,27,22872,22872.0,Population,2022,556,185.3,Deaths,2021-2023,100000,810.3,Crude Death Rate,677.4,Age-Adjusted Death Rate,620.2,734.7,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Mariposa,28,17556,17556.0,Population,2022,680,226.7,Deaths,2021-2023,100000,1291.1,Crude Death Rate,682.1,Age-Adjusted Death Rate,621.1,743.0,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Riverside,29,2506351,2506351.0,Population,2022,63945,21315.0,Deaths,2021-2023,100000,850.4,Crude Death Rate,686.9,Age-Adjusted Death Rate,681.5,692.4,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Solano,30,448896,448896.0,Population,2022,12068,4022.7,Deaths,2021-2023,100000,896.1,Crude Death Rate,698.3,Age-Adjusted Death Rate,685.6,711.1,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Calaveras,31,44150,44150.0,Population,2022,1765,588.3,Deaths,2021-2023,100000,1332.6,Crude Death Rate,715.0,Age-Adjusted Death Rate,675.0,755.0,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Amador,32,38161,38161.0,Population,2022,1607,535.7,Deaths,2021-2023,100000,1403.7,Crude Death Rate,731.8,Age-Adjusted Death Rate,692.1,771.6,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Madera,33,162722,162722.0,Population,2022,4141,1380.3,Deaths,2021-2023,100000,848.3,Crude Death Rate,741.9,Age-Adjusted Death Rate,719.0,764.8,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Sacramento,34,1571846,1571846.0,Population,2022,41169,13723.0,Deaths,2021-2023,100000,873.0,Crude Death Rate,760.5,Age-Adjusted Death Rate,753.1,767.9,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Trinity,35,13156,13156.0,Population,2022,537,179.0,Deaths,2021-2023,100000,1360.6,Crude Death Rate,781.0,Age-Adjusted Death Rate,701.5,860.4,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Mendocino,36,88353,88353.0,Population,2022,3020,1006.7,Deaths,2021-2023,100000,1139.4,Crude Death Rate,784.3,Age-Adjusted Death Rate,754.8,813.9,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Sutter,37,99781,99781.0,Population,2022,2860,953.3,Deaths,2021-2023,100000,955.4,Crude Death Rate,786.2,Age-Adjusted Death Rate,756.9,815.4,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Merced,38,288601,288601.0,Population,2022,6613,2204.3,Deaths,2021-2023,100000,763.8,Crude Death Rate,803.4,Age-Adjusted Death Rate,783.9,822.9,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Butte,39,227736,227736.0,Population,2022,7270,2423.3,Deaths,2021-2023,100000,1064.1,Crude Death Rate,806.7,Age-Adjusted Death Rate,787.3,826.1,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,San Joaquin,40,783706,783706.0,Population,2022,19893,6631.0,Deaths,2021-2023,100000,846.1,Crude Death Rate,812.7,Age-Adjusted Death Rate,801.3,824.2,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Tulare,41,485121,485121.0,Population,2022,11490,3830.0,Deaths,2021-2023,100000,789.5,Crude Death Rate,814.7,Age-Adjusted Death Rate,799.7,829.7,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,San Bernardino,42,2216865,2216865.0,Population,2022,54193,18064.3,Deaths,2021-2023,100000,814.9,Crude Death Rate,815.5,Age-Adjusted Death Rate,808.6,822.5,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Modoc,43,9374,9374.0,Population,2022,391,130.3,Deaths,2021-2023,100000,1390.4,Crude Death Rate,816.1,Age-Adjusted Death Rate,723.1,909.1,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Inyo,44,18142,18142.0,Population,2022,716,238.7,Deaths,2021-2023,100000,1315.5,Crude Death Rate,817.7,Age-Adjusted Death Rate,750.7,884.6,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Fresno,45,1029118,1029118.0,Population,2022,25823,8607.7,Deaths,2021-2023,100000,836.4,Crude Death Rate,817.9,Age-Adjusted Death Rate,807.8,828.0,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Kings,46,156164,156164.0,Population,2022,3347,1115.7,Deaths,2021-2023,100000,714.4,Crude Death Rate,826.4,Age-Adjusted Death Rate,798.1,854.6,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Lassen,47,29842,29842.0,Population,2022,942,314.0,Deaths,2021-2023,100000,1052.2,Crude Death Rate,832.9,Age-Adjusted Death Rate,777.9,887.8,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Tuolumne,48,51670,51670.0,Population,2022,2370,790.0,Deaths,2021-2023,100000,1528.9,Crude Death Rate,841.7,Age-Adjusted Death Rate,803.5,879.9,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Stanislaus,49,566365,566365.0,Population,2022,15341,5113.7,Deaths,2021-2023,100000,902.9,Crude Death Rate,846.8,Age-Adjusted Death Rate,833.2,860.3,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Humboldt,50,134138,134138.0,Population,2022,4669,1556.3,Deaths,2021-2023,100000,1160.2,Crude Death Rate,878.9,Age-Adjusted Death Rate,852.7,905.2,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Glenn,51,29212,29212.0,Population,2022,958,319.3,Deaths,2021-2023,100000,1093.2,Crude Death Rate,887.4,Age-Adjusted Death Rate,829.9,944.8,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Kern,52,929851,929851.0,Population,2022,23751,7917.0,Deaths,2021-2023,100000,851.4,Crude Death Rate,912.7,Age-Adjusted Death Rate,900.9,924.4,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Siskiyou,53,43169,43169.0,Population,2022,2016,672.0,Deaths,2021-2023,100000,1556.7,Crude Death Rate,940.3,Age-Adjusted Death Rate,893.6,987.0,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Yuba,54,78666,78666.0,Population,2022,2274,758.0,Deaths,2021-2023,100000,963.6,Crude Death Rate,948.1,Age-Adjusted Death Rate,908.4,987.8,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Tehama,55,64023,64023.0,Population,2022,2566,855.3,Deaths,2021-2023,100000,1336.0,Crude Death Rate,956.2,Age-Adjusted Death Rate,917.3,995.1,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Lake,56,64138,64138.0,Population,2022,2927,975.7,Deaths,2021-2023,100000,1521.2,Crude Death Rate,991.7,Age-Adjusted Death Rate,952.8,1030.6,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Shasta,57,176682,176682.0,Population,2022,7711,2570.3,Deaths,2021-2023,100000,1454.8,Crude Death Rate,996.4,Age-Adjusted Death Rate,973.1,1019.6,2030,,,,,,,
2025,1,Deaths Due to All Causes,Total Population,Total Population,Del Norte,58,26792,26792.0,Population,2022,1128,376.0,Deaths,2021-2023,100000,1403.4,Crude Death Rate,1030.4,Age-Adjusted Death Rate,967.8,1093.0,2030,,,,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Mono,1,13898,13898.0,Population,2022,33,11.0,Deaths,2021-2023,100000,79.1,Crude Death Rate,66.0,Age-Adjusted Death Rate,40.9,100.9,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Santa Clara,2,1987898,1987898.0,Population,2022,7087,2362.3,Deaths,2021-2023,100000,118.8,Crude Death Rate,92.6,Age-Adjusted Death Rate,90.4,94.7,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Sierra,3,3077,3077.0,Population,2022,23,7.7,Deaths,2021-2023,100000,249.2,Crude Death Rate,93.5,Age-Adjusted Death Rate,59.3,140.3,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,San Mateo,4,777635,777635.0,Population,2022,3323,1107.7,Deaths,2021-2023,100000,142.4,Crude Death Rate,97.2,Age-Adjusted Death Rate,93.8,100.5,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Imperial,5,192960,192960.0,Population,2022,635,211.7,Deaths,2021-2023,100000,109.7,Crude Death Rate,98.7,Age-Adjusted Death Rate,90.9,106.5,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,San Francisco,6,897416,897416.0,Population,2022,3800,1266.7,Deaths,2021-2023,100000,141.1,Crude Death Rate,100.6,Age-Adjusted Death Rate,97.3,103.8,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Marin,7,257795,257795.0,Population,2022,1489,496.3,Deaths,2021-2023,100000,192.5,Crude Death Rate,102.5,Age-Adjusted Death Rate,97.1,107.9,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Alameda,8,1689538,1689538.0,Population,2022,6691,2230.3,Deaths,2021-2023,100000,132.0,Crude Death Rate,106.4,Age-Adjusted Death Rate,103.8,108.9,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Trinity,9,13156,13156.0,Population,2022,93,31.0,Deaths,2021-2023,100000,235.6,Crude Death Rate,106.4,Age-Adjusted Death Rate,84.4,132.4,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Colusa,10,22872,22872.0,Population,2022,93,31.0,Deaths,2021-2023,100000,135.5,Crude Death Rate,111.0,Age-Adjusted Death Rate,89.2,136.4,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Monterey,11,447300,447300.0,Population,2022,1754,584.7,Deaths,2021-2023,100000,130.7,Crude Death Rate,111.2,Age-Adjusted Death Rate,106.0,116.5,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Santa Cruz,12,276024,276024.0,Population,2022,1248,416.0,Deaths,2021-2023,100000,150.7,Crude Death Rate,111.6,Age-Adjusted Death Rate,105.2,118.0,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Contra Costa,13,1168294,1168294.0,Population,2022,5391,1797.0,Deaths,2021-2023,100000,153.8,Crude Death Rate,111.9,Age-Adjusted Death Rate,108.9,115.0,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Alpine,14,1139,1139.0,Population,2022,9,3.0,Deaths,2021-2023,100000,263.4,Crude Death Rate,112.0,Age-Adjusted Death Rate,51.2,212.6,2030,C-01,122.7,Y,,,4,Rates with a relative standard error greater than or equal to 23 percent are deemed unreliable.
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Los Angeles,15,10208717,10208717.0,Population,2022,43019,14339.7,Deaths,2021-2023,100000,140.5,Crude Death Rate,112.1,Age-Adjusted Death Rate,111.0,113.2,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Orange,16,3218111,3218111.0,Population,2022,14215,4738.3,Deaths,2021-2023,100000,147.2,Crude Death Rate,112.1,Age-Adjusted Death Rate,110.2,114.0,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Lassen,17,29842,29842.0,Population,2022,138,46.0,Deaths,2021-2023,100000,154.1,Crude Death Rate,115.1,Age-Adjusted Death Rate,95.4,134.8,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Mariposa,18,17556,17556.0,Population,2022,137,45.7,Deaths,2021-2023,100000,260.1,Crude Death Rate,115.2,Age-Adjusted Death Rate,94.5,136.0,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,CALIFORNIA,,40146003,40146003.0,Population,2022,180210,60070.0,Deaths,2021-2023,100000,149.6,Crude Death Rate,118.7,Age-Adjusted Death Rate,118.2,119.3,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,San Luis Obispo,19,279268,279268.0,Population,2022,1649,549.7,Deaths,2021-2023,100000,196.8,Crude Death Rate,119.7,Age-Adjusted Death Rate,113.5,125.8,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Plumas,20,19041,19041.0,Population,2022,159,53.0,Deaths,2021-2023,100000,278.3,Crude Death Rate,120.2,Age-Adjusted Death Rate,100.1,140.3,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,El Dorado,21,190012,190012.0,Population,2022,1149,383.0,Deaths,2021-2023,100000,201.6,Crude Death Rate,120.6,Age-Adjusted Death Rate,113.3,127.9,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Santa Barbara,22,455127,455127.0,Population,2022,2078,692.7,Deaths,2021-2023,100000,152.2,Crude Death Rate,121.4,Age-Adjusted Death Rate,116.1,126.7,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,San Diego,23,3356185,3356185.0,Population,2022,15393,5131.0,Deaths,2021-2023,100000,152.9,Crude Death Rate,122.5,Age-Adjusted Death Rate,120.6,124.5,2030,C-01,122.7,Y,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Napa,24,139518,139518.0,Population,2022,784,261.3,Deaths,2021-2023,100000,187.3,Crude Death Rate,123.6,Age-Adjusted Death Rate,114.7,132.5,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Madera,25,162722,162722.0,Population,2022,700,233.3,Deaths,2021-2023,100000,143.4,Crude Death Rate,123.7,Age-Adjusted Death Rate,114.4,132.9,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Nevada,26,98157,98157.0,Population,2022,739,246.3,Deaths,2021-2023,100000,251.0,Crude Death Rate,123.8,Age-Adjusted Death Rate,114.1,133.5,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Riverside,27,2506351,2506351.0,Population,2022,11841,3947.0,Deaths,2021-2023,100000,157.5,Crude Death Rate,124.4,Age-Adjusted Death Rate,122.1,126.7,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Ventura,28,851620,851620.0,Population,2022,4253,1417.7,Deaths,2021-2023,100000,166.5,Crude Death Rate,124.6,Age-Adjusted Death Rate,120.8,128.4,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Sonoma,29,502886,502886.0,Population,2022,3095,1031.7,Deaths,2021-2023,100000,205.1,Crude Death Rate,125.2,Age-Adjusted Death Rate,120.6,129.7,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Placer,30,400664,400664.0,Population,2022,2494,831.3,Deaths,2021-2023,100000,207.5,Crude Death Rate,125.8,Age-Adjusted Death Rate,120.7,130.9,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Fresno,31,1029118,1029118.0,Population,2022,4119,1373.0,Deaths,2021-2023,100000,133.4,Crude Death Rate,128.5,Age-Adjusted Death Rate,124.6,132.5,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Inyo,32,18142,18142.0,Population,2022,125,41.7,Deaths,2021-2023,100000,229.7,Crude Death Rate,128.9,Age-Adjusted Death Rate,104.4,153.3,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Yolo,33,228380,228380.0,Population,2022,931,310.3,Deaths,2021-2023,100000,135.9,Crude Death Rate,129.4,Age-Adjusted Death Rate,121.0,137.8,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Tulare,34,485121,485121.0,Population,2022,1901,633.7,Deaths,2021-2023,100000,130.6,Crude Death Rate,132.1,Age-Adjusted Death Rate,126.1,138.1,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Merced,35,288601,288601.0,Population,2022,1100,366.7,Deaths,2021-2023,100000,127.0,Crude Death Rate,132.1,Age-Adjusted Death Rate,124.2,139.9,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Sutter,36,99781,99781.0,Population,2022,499,166.3,Deaths,2021-2023,100000,166.7,Crude Death Rate,132.7,Age-Adjusted Death Rate,121.0,144.5,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,San Bernardino,37,2216865,2216865.0,Population,2022,9217,3072.3,Deaths,2021-2023,100000,138.6,Crude Death Rate,134.3,Age-Adjusted Death Rate,131.5,137.1,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,San Joaquin,38,783706,783706.0,Population,2022,3440,1146.7,Deaths,2021-2023,100000,146.3,Crude Death Rate,134.8,Age-Adjusted Death Rate,130.2,139.4,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Solano,39,448896,448896.0,Population,2022,2466,822.0,Deaths,2021-2023,100000,183.1,Crude Death Rate,136.0,Age-Adjusted Death Rate,130.6,141.5,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Tuolumne,40,51670,51670.0,Population,2022,423,141.0,Deaths,2021-2023,100000,272.9,Crude Death Rate,136.0,Age-Adjusted Death Rate,121.9,150.2,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Kern,41,929851,929851.0,Population,2022,3640,1213.3,Deaths,2021-2023,100000,130.5,Crude Death Rate,136.6,Age-Adjusted Death Rate,132.1,141.1,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Kings,42,156164,156164.0,Population,2022,557,185.7,Deaths,2021-2023,100000,118.9,Crude Death Rate,136.7,Age-Adjusted Death Rate,125.3,148.2,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,San Benito,43,62124,62124.0,Population,2022,300,100.0,Deaths,2021-2023,100000,161.0,Crude Death Rate,138.1,Age-Adjusted Death Rate,122.1,154.0,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Modoc,44,9374,9374.0,Population,2022,75,25.0,Deaths,2021-2023,100000,266.7,Crude Death Rate,141.1,Age-Adjusted Death Rate,108.4,180.5,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Amador,45,38161,38161.0,Population,2022,343,114.3,Deaths,2021-2023,100000,299.6,Crude Death Rate,141.5,Age-Adjusted Death Rate,125.7,157.3,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Calaveras,46,44150,44150.0,Population,2022,407,135.7,Deaths,2021-2023,100000,307.3,Crude Death Rate,142.0,Age-Adjusted Death Rate,126.5,157.5,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Sacramento,47,1571846,1571846.0,Population,2022,7905,2635.0,Deaths,2021-2023,100000,167.6,Crude Death Rate,142.4,Age-Adjusted Death Rate,139.2,145.6,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Stanislaus,48,566365,566365.0,Population,2022,2676,892.0,Deaths,2021-2023,100000,157.5,Crude Death Rate,144.3,Age-Adjusted Death Rate,138.7,149.8,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Butte,49,227736,227736.0,Population,2022,1370,456.7,Deaths,2021-2023,100000,200.5,Crude Death Rate,146.0,Age-Adjusted Death Rate,138.0,154.0,2030,C-01,122.7,N,,,,
2025,2,Deaths Due to All Cancers,Total Population,Total Population,Mendocino,50,88353,88353.0,Population,2022,654,218.0,Deaths,2021-2023,100000,246.7,Crude Death Rate,155.1,Age-Adjusted Death Rate,142.7,167.5,2030,C-01,122.7,N,,,,
